
2025/05/27 (17:34:53) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (07:26:16) | ===> btop++ v.1.4.0
2025/05/28 (07:26:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/28 (07:26:23) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (07:13:14) | ===> btop++ v.1.4.0
2025/05/29 (07:13:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/29 (07:13:24) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (14:31:03) | ===> btop++ v.1.4.0
2025/05/31 (14:31:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/31 (14:31:05) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (14:31:08) | ===> btop++ v.1.4.0
2025/05/31 (14:31:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/31 (14:31:12) | WARNING: Failed to join _runner thread on exit!

2025/06/01 (01:46:19) | ===> btop++ v.1.4.0
2025/06/01 (01:46:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/01 (01:46:29) | WARNING: Failed to join _runner thread on exit!

2025/06/01 (13:37:48) | ===> btop++ v.1.4.0
2025/06/01 (13:37:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/01 (13:38:39) | WARNING: Failed to join _runner thread on exit!

2025/06/04 (02:19:53) | ===> btop++ v.1.4.0
2025/06/04 (02:19:53) | WARNING: Intel GPU: Failed to initialize PMU
